year;id;extends;predecessors;name;developers;companies;wiki;paradigm;;;
2013;hopscotch;Scratch;;Hopscotch;;Hopscotch Technologies;Hopscotch_(programming_language);;;;
2013;hy;Python, Lisp, Clojure;;Hy;Paul Tagliamonte;;Hy_(programming_language);;;;
2013;lean;ML, Rocq, Haskell, Agda;;Lean;;Microsoft;Lean_(proof_assistant);;;;
2013;purescript;Haskell;;PureScript;Phil Freeman;;PureScript;;;;
2013;futhark;;;Futhark;;DIKU, University of Copenhagen;Futhark_(programming_language);parallel/functional;static;GPGPU high-performance computing;https://futhark-lang.org
2013;mutan;;;Mutan;Jeffrey Wilcke;Ethereum Foundation;Ethereum#Programming_languages;smart contract;static;Early Ethereum development;github.com
2013;wyvern;;;Wyvern;Aldrich,Sunshine;Carnegie Mellon University;Wyvern_(programming_language);object-oriented/security;static;Security research;https://wyvern-lang.org
2014;c14;C++11, Standard C, C;;C++14;;C++ ISO,IEC 14882:2014;;;;;
2014;crystal;Ruby, C, Rust, Go, C#, Python;;Crystal;Ary Borenszweig;Manas Technology Solutions;Crystal_(programming_language);;;;
2014;hack;PHP;;Hack;;Facebook;Hack_(programming_language);;;;
2014;solidity;JavaScript, C++, Python;;Solidity;Gavin Wood;Ethereum;Solidity;;;;
2014;swift;Objective-C, Rust, Haskell, Ruby, Python, C#, CLU;;Swift;;Apple Inc.;Swift_(programming_language);;;;
2014;gdscript;;;GDScript;Juan Linietsky;Godot Engine;Godot_(game_engine);object-oriented/scripting;dynamic;Godot Engine game logic;https://godotengine.org
2014;jai;;;Jai;Jonathan Blow;Thekla Inc.;Jai_(programming_language);imperative;static;High-performance game development;
2014;pony;;;Pony;Sylvan Clebsch;Pony Language Group;Pony_(programming_language);actor-based/safe;static;High-performance systems;https://www.ponylang.io
2014;scratchjr;;;ScratchJr;MIT,Tufts;MIT Media Lab;ScratchJr;visual;untyped;Education for young children (5-7);https://www.scratchjr.org
2014;sycl;;;SYCL;Khronos Group;Khronos Group;SYCL;heterogeneous (c++);static;GPU acceleration for C++;www.khronos.org
2015;raku;Perl, Haskell, Python, Ruby;;Raku;Larry Wall;The Rakudo Team;Raku_(programming_language);;;;
2015;zig;C, C++, LLVM IR, Go, Rust;;Zig;Andrew Kelley;;Zig_(programming_language);;;;
2015;mformulalanguage;;;M Formula language;Microsoft;Microsoft;M_Formula_language;functional;strong;Power Query data transformation;learn.microsoft.com
2016;reason;JavaScript, OCaml;;Reason;Jordan Walke;;Reason_(programming_language);;;;
2016;ring;Lua, Python, Ruby, C, C#, BASIC, QML, xBase, Supernova;;Ring;Mahmoud Samir Fayed;;Ring_(programming_language);;;;
2016;flix;;;Flix;Ondrej Lhotak;Purdue University;Flix_(programming_language);functional/logic;static;Code analysis/Research;www.flix.dev
2017;assemblyscript;JavaScript, TypeScript, WebAssembly;;AssemblyScript;;The AssemblyScript Project;AssemblyScript;;;;
2017;ballerina;Java, JavaScript, Go, Rust, C#;;Ballerina;;WSO2, open source;Ballerina_(programming_language);;;;
2017;qsharp;C#, F#, Python;;Q#;;Microsoft;Q_Sharp;;;;
2017;openqasm;;;OpenQASM;IBM;IBM;OpenQASM;quantum;static;Quantum circuit representation;https://openqasm.com
2017;source;;;Source;NUS;National University of Singapore;Source_(programming_language);educational/js;dynamic;Teaching programming (SICP);https://source-academy.github.io
2017;vyper;;;Vyper;Vitalik Buterin;Vyper Team;Ethereum#Smart_contracts;smart contract;static;Ethereum smart contracts;https://www.vyperlang.org
2017;webassembly;;;WebAssembly;W3C;W3C;WebAssembly;low-level/stack-based;static;High-performance web code;https://webassembly.org
2017;xod;;;Xod;XOD Team;XOD Team;XOD_(programming_language);visual (node-based);static;Arduino visual programming;https://xod.io
2018;c17;C11;;C17;;ISO,IEC 9899:2018;;;;;
2018;fortran2018;Fortran 2008;;Fortran 2018;;ISO,IEC JTC1,SC22,WG5 N2150:2018;;;;;
2019;bosque;JavaScript, TypeScript, ML;;Bosque;Mark Marron;Microsoft;Bosque_(programming_language);;;;
2019;vvlang;C, Go, Kotlin, Oberon, Python, Rust, Swift;;V (Vlang);Alexander Medvednikov;;;;;;
2019;projectverona;;;Project Verona;Microsoft Research;Microsoft Research;Project_Verona;linear/infrastructure;static;Safe low-level systems programming;github.com
2019;v;;;V;Alexander Medvednikov;Vlang;V_(programming_language);imperative;static;Systems programming;https://vlang.io
2021;microsoftpowerfx;Excel formulas;;Microsoft Power Fx;Vijay Mital, Robin Abraham, Shon Katzenberger, Darryl Rubin;Microsoft;Microsoft_Power_Fx;;;;
2022;carbon;C++, Rust, Swift, Zig, Kotlin, Haskell;;Carbon;;Google;Carbon_(programming_language);;;;
2022;arkts;;;ArkTS;Huawei;Huawei;ArkTS;oop;static;;gitee.com
2022;verse;;;Verse;Epic Games;Epic Games;Verse_(programming_language);functional/game-specific;static;Metaverse/Fortnite development;https://dev.epicgames.com
2023;mojo;Python, Rust, Cython, C, C++, CUDA, Swift, Zig;;Mojo;;Modular;Mojo_(programming_language);;;;
2024;gleam;Erlang, Elixir, Elm, Rust, Go, OCaml, JavaScript;;Gleam;Louis Pilfold;Fly.io;Gleam_(programming_language);;;;
1966-11-27;apl;“mathematical notation”;;APL;Kenneth E. Iverson;;APL_(programming_language);array, functional, structured, modular;;;
1969-04-01;cesil;;;CESIL;John Hoskyns Group;ICL (International Computers Limited);CESIL;imperative (instructional language);untyped;;
1983-11-04;action;;;Action!;Clinton Parker;Optimized Systems Software (OSS);Action!_(programming_language);;;Atari 8-bit computers;
1991-03-09;agilentvee;!!!;;Agilent VEE (Keysight VEE);;Keysight Technologies;Agilent_VEE;;;;
1993-09-29;amigae;C, DEX, Modula-2, Ada, C++, Lisp;;Amiga E;Wouter van Oortmerssen;;Amiga_E;functional, object-oriented, procedural;;AmigaOS;https://aminet.net/package/dev/e/amigae33a
2000-06-16;aliceml;ML, Oz;;Alice ML;;Saarland University;Alice_(programming_language);imperative, functional, distributed, concurrent, constraint;;;http://www.ps.uni-saarland.de/alice
2007-05-01;boomerang;;;Boomerang;James Cheney, Jeremy Gibbons, Sam Lindley, Edward Rice;University of Pennsylvania;Boomerang_(programming_language);bidirectional transformations (lenses), functional, data-synchronization;strong, static;;www.seas.upenn.edu
2008-09-11;apachepiglatin;;;Apache Pig latin;Christopher Olston, Benjamin Reed;Apache Software Foundation, Yahoo Research;Apache_Pig;;;;https://pig.apache.org/
2010-12-15;appinventor;;;App Inventor;Hal Abelson, Mark Friedman;Google , MIT;App_Inventor_for_Android_(programming_language);blockbased;dynamic;;appinventor.mit.edu
1940s;machinecode;;;Machine code;Various;None;Machine_code;binary/instruction-set;low-level;Direct CPU execution;en.wikipedia.org
1950s;gcode;;;G-code;;MIT;G-code;numerical/procedural;untyped;CNC machine tools/3D printing;https://www.nist.gov
1960-04;cobol61;cobol;COmmon Business Oriented Language;COBOL 61;Howard Bromberg, Norman Discount, Vernon Reeves, Jean E. Sammet, William Selden, Gertrude Tierney;CODASYL, ANSI, ISO,IEC;COBOL;procedural, imperative, objectoriented, generic;weak, static;;
1970s;chip8;;;CHIP-8;Joseph Weisbecker;RCA (for COSMAC VIP and Telmac 1800 microcomputers);CHIP-8;interpreted;untyped;;
1970s;lll;;;LLL;Internal;Various;Ethereum#Contract_source_code;assembly;low-level;Low Level Languages (General term);en.wikipedia.org
1970s;mary;;;Mary;Runit;University of Trondheim;Mary_(programming_language);systems;static;Machine-oriented Algol-like lang;en.wikipedia.org_(programming_language)
1970s;miis;;;MIIS;Internal;Meditech;MIIS_(programming_language);procedural;dynamic;Healthcare systems (MUMPS variant);en.wikipedia.org
1970s;newp;;;NEWP;Burroughs Corp;Burroughs Corporation;NEWP;systems;static;OS development (Burroughs MCP);en.wikipedia.org
1970s;nord;;;Nord Programming Language;Norsk Data;Norsk Data;Nord_Programming_Language;systems;static;Nord-10/100 system programming;en.wikipedia.org
1970s;plex;;;PLEX;Ericsson;Ericsson;PLEX_(programming_language);concurrent;static;Telephony switching (AXE);https://www.ericsson.com
1970s;plp;;;PL/P;Prime Computer;Prime Computer;PL/P;systems;static;PRIMOS operating system;en.wikipedia.org
1970s;simple;;;SiMPLE;Various;Various;SiMPLE;educational;dynamic;BASIC-like teaching language;en.wikipedia.org
1970s;spl;;;SPL;HP;Hewlett-Packard;Systems_Programming_Language;systems;static;HP 3000 systems (MPE);en.wikipedia.org
1970s;sympl;;;SYMPL;CDC;Control Data Corporation;SYMPL;systems;static;CDC Cyber system programming;en.wikipedia.org
1970s;tal;;;TAL;Tandem;Tandem Computers;Transaction_Application_Language;systems;static;Tandem NonStop system language;en.wikipedia.organdem_Application_Language
1980s;ceemac;;;CEEMAC;Brooke Boering;Vagabondo Enterprises;CEEMAC;visualcomposition;;Apple II;
1980s;fjlnir;;;Fjölnir;Snorri Agnarsson;University of Iceland;Fj%C3%B6lnir_(programming_language);imperative/modular;static;University education (Iceland);http://www.fjolnir.org
1980s;haggis;;;HAGGIS;University of Stirling;University of Stirling;HAGGIS;educational;strong;Algorithm teaching;
1980s;kuka;;;KUKA Robot Language;KUKA;KUKA Roboter GmbH;KUKA_Robot_Language;domain-specific;static;Industrial robot control;https://www.kuka.com
1980s;mystic;;;Mystic Programming Language;James R. Van Zandt;James R. Van Zandt;Mystic_BBS;procedural;static;Pascal alternative;en.wikipedia.org
1980s;orcamodula2;;;ORCA/Modula-2;Byte Works;Byte Works;ORCA/Modula-2;procedural;static;Apple IIGS development;en.wikipedia.org
1980s;pcastl;;;PCASTL;University of Manchester;University of Manchester;PCASTL;parallel;static;Dataflow research;en.wikipedia.org
1980s;proc;;;Pro*C;Oracle;Oracle Corporation;Pro*C;embedded sql;static;SQL within C code;https://www.oracle.com
1980s;sophaeros;;;SOPHAEROS;EDF;EDF France;SOPHAEROS;simulation;static;Nuclear accident simulation;https://www.irsn.fr
1980s;tacl;;;TACL;Tandem;HPE (Tandem);TACL_(programming_language);scripting;dynamic;Command language (NonStop OS);https://www.hpe.com
1990s;etoys;;;Etoys;Alan Kay, Dan Ingalls;Squeakland,Viewpoints;Etoys_(programming_language);visual/object-oriented;dynamic;Educational programming;https://www.squeakland.org
1990s;peoplecode;;;PeopleCode;PeopleSoft;Oracle;PeopleCode;object-oriented/scripting;dynamic;PeopleSoft ERP systems;https://www.oracle.com
1990s;roop;;;ROOP;University of Klagenfurt;University of Klagenfurt;ROOP_(programming_language);logic/object-oriented;dynamic;Logic integration research;en.wikipedia.org
1990s;sbl;;;SBL;Various;Various;Superbase_database;scripting;dynamic;BASIC dialect (GIS/Legacy);en.wikipedia.org
1990s;serpent;;;Serpent;CMU;Carnegie Mellon University;Ethereum#Programming_languages;scripting;dynamic;User interface development;en.wikipedia.org_(programming_language)
1990s;tie;;;TIE;Various;Various;Tensilica_Instruction_Extension;interactive;dynamic;Computer-based training;en.wikipedia.orgIE_(programming_language)
1990s;toi;;;Toi;Various;Various;Toi_(programming_language);educational;dynamic;Minimalist functional language;en.wikipedia.orgoi_(programming_language)
2000s;oriel;;;Oriel;Microsoft;Microsoft;Oriel_(scripting_language);scripting (ui);dynamic;Windows UI automation;en.wikipedia.org
