year;id;extends;predecessors;name;developers;companies;wiki;paradigm;;;
1967;simula67;ALGOL 60;;Simula 67;Ole-Johan Dahl, Bjørn Myhrhaug, Kristen Nygaard;Norsk Regnesentral;;;;;
1967;snobol4;SNOBOL3;;SNOBOL4;Ralph Griswold;;;;;;
1967;xpl;PL/I;;XPL;William M. McKeeman, J. J. Horning;University of California, Stanford University;XPL;;;;
1967;foil;;;FOIL;;University of Michigan;FOIL_(programming_language);educational/cai;dynamic;Computer Assisted Instruction;
1967;maxima;;;Maxima;Bill Schelter;MIT (Project MAC);Maxima_(software);symbolic;dynamic;Computer Algebra System;https://maxima.sourceforge.io
1968;algol68;ALGOL 60;;ALGOL 68;Adriaan van Wijngaarden, Barry J. Mailloux, John E. L. Peck, Cornelis H. A. Koster;;ALGOL_68;;;;
1968;dibol8;DIBOL;;DIBOL-8;;DEC;;;;;
1968;logo;LISP;;Logo;Wally Feurzeig, Seymour Papert, Cynthia Solomon;;Logo_(programming_language);;;;
1968;mapper;CRT RPS;;MAPPER;;Unisys;MAPPER;;;;
1968;pilot;Computest;;PILOT;John Amsden Starkweather;University of California;PILOT;;;;
1968;pl360;ALGOL 60, ESPOL;;PL360;Niklaus Wirth;;PL360;;;;
1968;pls;Assembly language;;PL/S;;IBM;PL/S;;;;
1968;pop1;COWSEL;;POP-1;Rod Burstall, Robin Popplestone;;;;;;
1968;refal;;;REFAL;Valentin Turchin;;REFAL;;;;
1968;ttm;GAP, GPM;;TTM;Steven Caine, E. Kent Gordon;California Institute of Technology;TTM_(programming_language);;;;
1968;analitik;ALMIR-65;;Analitik;Viktor Glushkov;Poltava National Technical University;%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA;;;;
1968;cms2;;;CMS-2;;CSC, Intermetrics, U.S. Navy;CMS-2_(programming_language);imperative;static;;
1968;csc;;;Computer Sciences Corporation (CSC);;US Navy;Computer_Sciences_Corporation;procedural;static;Military systems;
1968;espol;;;ESPOL;Niklaus Wirth;ETH Zurich;Executive_Systems_Problem_Oriented_Language;algol extension;static;System programming (Burroughs);
1968;focal;;;FOCAL;Richard Merrill;Digital Equipment Corporation;FOCAL_(programming_language);interactive/procedural;dynamic;Calculations on PDP systems;
1968;model204;;;Model 204;Computer Corp.;CCA;Model_204;database;strong;High-performance mainframe DB;https://www.rocketsoftware.com
1968;tmg;;;TMG;Robert M. McClure;McClure;TMG_(language);parser-generator;untyped;Compiler construction;en.wikipedia.orgMG_(programming_language)
1969;b;BCPL, Fortran;;B;Ken Thompson, Dennis Ritchie;;B_(programming_language);;;;
1969;edinburghimp;ALGOL 60, Autocode, Atlas Autocode;;Edinburgh IMP;;Edinburgh University;Edinburgh_IMP;;;;
1969;pli;ALGOL 60, COBOL, FORTRAN;;PL/I;;IBM;PL/I;;;;
1969;ppl;;;PPL;Thomas A. Standish;Harvard University;Polymorphic_Programming_Language;;;;
1969;setl;ALGOL 60;;SETL;Jack Schwartz;Courant Institute of Mathematical Sciences;SETL;;;;
1969;tutor;;;TUTOR;Paul Tenczar;University of Illinois;TUTOR;;;;
1969;pcf;;;PCF;Dana Scott;University of Oxford;Programming_language_for_Computable_Functions;functional;static;Programming language theory;en.wikipedia.org_(programming_language)
1969;planner;;;Planner;Carl Hewitt;MIT;Planner_(programming_language);logic/ai;dynamic;Early AI research;en.wikipedia.org_(programming_language)
1969;watfiv;;;WATFIV;Univ. of Waterloo;University of Waterloo;WATFIV;procedural;static;FORTRAN teaching dialect;en.wikipedia.org
1970;bliss;ALGOL;;BLISS;Wulf, Russell, Habermann;Carnegie Mellon University;BLISS;;;;
1970;forth;Forth;;Forth;Charles H. Moore;;Forth_(programming_language);;;;
1970;pascal;ALGOL 60, ALGOL W;;Pascal;Niklaus Wirth, Kathleen Jensen;;Pascal_(programming_language);;;;
1970;pop2;POP-1;;POP-2;Robin Popplestone;;POP-2;;;;
1970;sail;ALGOL 60;;SAIL;Dan Swinehart, Bob Sproull;;SAIL_(programming_language);;;;
1970;clist;;;CLIST;;IBM;CLIST;dynamic;;;
1970;dc;;;dc;Robert Morris, Lorinda Cherry;Bell Labs;Dc_(computer_program);stack-based;untyped;Arbitrary-precision math;www.gnu.org
1970;dibol;;;DIBOL;;Digital Equipment Corporation;DIBOL;procedural (business);static;Business apps (PDP-8/11);
1970;ladder;;;Ladder;Richard Morley;Modicon (Schneider Electric);Ladder_logic;visual/logic;static;Industrial PLC programming;https://www.automation.com
1970;lse;;;LSE;Internal;CERN;LSE_(programming_language);procedural;static;Large Systems Language (CERN);en.wikipedia.org_(programming_language)
1970;plc;;;PL/C;Cornell University;Cornell University;PL/C;procedural;static;PL/I dialect for education;en.wikipedia.org
1970;s2;;;S2;University of Toronto;University of Toronto;S2_(programming_language);systems;static;Algol dialect for systems;en.wikipedia.org_(programming_language)
